Arquivo,Passou,Falhou,Total
camelCase,7,0,7
capitalize,3,2,5
castArray,3,0,3
ceil,2,0,2
chunk,6,0,6
clamp,0,0,0
clone,4,1,5
cloneDeep,0,1,1
cloneDeepWith,2,2,4
cloneWith,2,1,3
compact,6,0,6
cond,0,0,0
conforms,3,0,3
conformsTo,3,0,3
countBy,3,0,3
create,3,0,3
debounce,6,0,6
deburr,3,0,3
defaults,8,0,8
defaultsDeep,3,0,3
defaultTo,3,0,3
defaultToAny,3,1,4
defer,0,0,0
delay,0,0,0
difference,4,0,4
differenceBy,3,1,4
differenceWith,3,2,5
divide,8,1,9
drop,4,2,6
dropRight,5,0,5
dropRightWhile,3,0,3
dropWhile,5,1,6
each,2,0,2
eachRight,0,0,0
endsWith,3,2,5
eq,3,0,3
eqDeep,2,0,2
escape,2,1,3
escapeRegExp,2,1,3
every,4,0,4
everyValue,3,0,3
filter,4,0,4
filterObject,4,0,4
findKey,4,0,4
findLast,5,1,6
findLastIndex,4,0,4
findLastKey,2,0,2
first,1,0,1
flatMap,2,2,4
flatMapDeep,7,2,9
flatMapDepth,0,0,0
flatten,5,0,5
flattenDeep,5,0,5
flattenDepth,6,1,7
flip,3,0,3
floor,1,2,3
flow,0,0,0
flowRight,0,0,0
forEach,5,0,5
forEachRight,0,0,0
forOwn,3,1,4
forOwnRight,1,2,3
fromEntries,4,0,4
functions,4,0,4
get,3,0,3
groupBy,3,0,3
gt,3,3,6
gte,6,0,6
has,3,0,3
hasIn,2,1,3
hasPath,8,2,10
hasPathIn,10,1,11
head,5,0,5
indexOf,6,2,8
initial,4,0,4
inRange,2,0,2
intersection,3,2,5
intersectionBy,5,1,6
intersectionWith,5,0,5
invert,4,0,4
invertBy,4,0,4
invoke,3,1,4
invokeMap,5,1,6
isArguments,2,0,2
isArrayBuffer,2,0,2
isArrayLike,5,0,5
isArrayLikeObject,1,1,2
isBoolean,3,0,3
isBuffer,7,0,7
isDate,2,0,2
isElement,1,1,2
isEmpty,13,0,13
isEqualWith,3,0,3
isError,3,2,5
isFunction,10,0,10
isLength,5,0,5
isMap,8,0,8
isMatch,5,1,6
isMatchWith,3,3,6
isNative,3,0,3
isNil,3,0,3
isNull,2,0,2
isNumber,2,0,2
isObject,2,0,2
isObjectLike,2,0,2
isPlainObject,7,0,7
isRegExp,11,0,11
isSet,2,0,2
isString,3,0,3
isSymbol,2,0,2
isTypedArray,7,0,7
isUndefined,2,0,2
isWeakMap,1,1,2
isWeakSet,3,0,3
kebabCase,6,0,6
keyBy,0,0,0
keys,6,0,6
keysIn,4,0,4
last,4,0,4
lastIndexOf,7,0,7
lowerCase,2,1,3
lowerFirst,4,2,6
lt,2,2,4
lte,3,2,5
map,3,0,3
mapKey,4,1,5
mapObject,4,1,5
mapValue,2,1,3
matches,5,0,5
matchesProperty,3,0,3
maxBy,3,0,3
mean,4,2,6
meanBy,5,1,6
memoize,3,2,5
merge,4,0,4
mergeWith,3,0,3
method,4,0,4
methodOf,0,0,0
minBy,6,0,6
multiply,1,1,2
negate,0,0,0
nth,0,0,0
nthArg,0,0,0
once,2,0,2
orderBy,1,2,3
over,4,1,5
overArgs,1,5,6
overEvery,4,0,4
overSome,3,1,4
pad,4,1,5
padEnd,3,1,4
upperFirst,2,0,2
round,3,0,3
trimEnd,4,0,4
sample,3,0,3
tail,3,0,3
toSafeInteger,3,1,4
some,3,0,3
unescape,2,0,2
toInteger,3,0,3
reduce,2,0,2
unzip,3,0,3
pull,3,0,3
subtract,6,0,6
shuffle,4,0,4
trim,0,0,0
sortedIndex,3,0,3
values,4,0,4
repeat,5,0,5
toString,6,0,6
sum,4,2,6
sortedIndexOf,6,0,6
updateWith,3,0,3
without,5,0,5
replace,5,0,5
times,4,0,4
sampleSize,3,1,4
upperCase,5,1,6
uniq,4,0,4
unset,1,1,2
someValue,4,0,4
sortedIndexBy,4,0,4
rangeRight,2,3,5
trimStart,5,1,6
xorBy,3,2,5
pullAll,5,0,5
unzipWith,1,3,4
update,2,2,4
toNumber,3,1,4
unionWith,3,0,3
split,5,2,7
zipObjectDeep,4,0,4
words,4,1,5
zip,2,3,5
uniqueId,3,0,3
propertyOf,4,0,4
transform,2,2,4
set,3,3,6
size,6,0,6
xorWith,5,0,5
toPlainObject,4,1,5
uniqWith,5,0,5
sumBy,4,1,5
toArray,6,0,6
sortedUniq,5,0,5
slice,6,0,6
zipObject,6,1,7
remove,5,0,5
truncate,2,4,6
reduceRight,4,0,4
take,7,0,7
sortedLastIndex,4,0,4
range,7,0,7
partition,3,0,3
sortedLastIndexOf,6,0,6
pullAt,1,5,6
unionBy,0,0,0
takeRightWhile,4,1,5
startsWith,5,2,7
takeWhile,5,1,6
throttle,5,3,8
union,0,0,0
zipWith,4,4,8
pullAllBy,3,1,4
setWith,1,3,4
reject,6,1,7
result,1,6,7
random,8,1,9
sortedLastIndexBy,5,0,5
sortedUniqBy,4,4,8
startCase,4,1,5
uniqBy,4,0,4
toPath,3,0,3
snakeCase,4,1,5
pick,3,3,6
pickBy,3,0,3
toFinite,14,1,15
pullAllWith,5,0,5
property,0,0,0
toLength,4,1,5
parseInt,5,0,5
takeRight,3,3,6
padStart,3,1,4
xor,6,0,6
