Arquivo,Passou,Falhou,
assocIndexOf,3,0,
baseAssignValue,2,0,
baseAt,6,0,
baseClone,8,3,
baseConforms,4,0,
baseConformsTo,4,1,
baseDifference,4,2,
baseEach,0,4,
baseEachRight,3,1,
baseFindIndex,2,1,
baseFindKey,2,0,
baseFlatten,4,2,
baseFor,2,0,
baseForOwn,5,0,
baseForOwnRight,1,0,
baseForRight,2,0,
baseGet,4,0,
baseIndexOf,4,0,
baseIndexOfWith,3,0,
baseInRange,5,2,
baseIntersection,3,2,
baseIsEqual,4,5,
baseIsEqualDeep,1,1,
baseIsMatch,0,10,
baseIsNaN,1,1,
baseMatches,3,2,
baseMatchesProperty,6,0,
baseMerge,3,1,
baseMergeDeep,0,3,
baseOrderBy,2,2,
basePick,5,0,
basePickBy,0,0,
baseProperty,4,0,
basePropertyDeep,4,0,
basePropertyOf,3,0,
basePullAll,2,2,
basePullAt,2,3,5
baseRange,1,3,4
baseReduce,0,4,4
baseSet,6,1,7
baseSortBy,0,1,1
baseSortedIndex,4,1,5
baseSortedIndexBy,3,5,8
baseSortedUniq,0,4,4
baseSum,0,0,0
baseToNumber,3,0,3
baseToString,4,0,4
baseUniq,2,1,3
baseUnset,5,2,7
baseUpdate,2,1,3
baseValues,3,0,3
baseWhile,5,3,8
baseXor,3,2,5
baseZipObject,3,0,3
cacheHas,3,0,3
castArrayLikeObject,2,0,2
castPath,3,0,3
castSlice,2,1,3
charsEndIndex,0,3,3
charsStartIndex,3,2,5
cloneArrayBuffer,1,0,1
cloneBuffer,2,0,2
cloneDataView,2,0,2
cloneRegExp,3,0,3
cloneSymbol,1,1,2
cloneTypedArray,1,1,2
compareAscending,7,6,13
compareMultiple,0,0,0
composeArgs,0,4,4
composeArgsRight,2,2,4
copyArray,2,0,2
copyObject,2,1,3
copySymbols,4,0,4
copySymbolsIn,0,3,3
createAssigner,4,2,6
createCaseFirst,3,1,4
createMathOperation,3,4,7
createPadding,4,2,6
createRange,2,7,9
createRound,4,0,4
createSet,0,0,0
customDefaultsMerge,0,0,0
deburrLetter,0,1,1
equalArrays,2,1,3
equalByTag,2,0,2
equalObjects,2,2,4
metaMap,0,1,1
nodeTypes,1,0,1
root,3,0,3
getHolder,2,0,2
stringSize,0,1,1
freeGlobal,1,0,1
setToString,2,0,2
hasUnicode,2,0,2
matchesStrictComparable,0,1,1
after,0,0,0
setToPairs,3,0,3
reEscape,0,0,0
unicodeSize,3,0,3
stringToArray,3,0,3
getMatchData,0,0,0
isPrototype,2,0,2
getSymbols,2,1,3
setToArray,2,1,3
parent,1,1,2
mapToArray,3,0,3
toKey,0,0,0
attempt,3,0,3
before,3,0,3
getTag,7,0,7
stringToPath,0,1,1
reEvaluate,4,1,5
camelCase,3,2,5
isKey,8,0,8
isFlattenable,4,0,4
SetCache,6,0,6
strictIndexOf,2,1,3
getAllKeys,2,2,4
at,3,0,3
unicodeWords,3,2,5
isIndex,4,1,5
getSymbolsIn,3,0,3
MapCache,5,1,6
memoizeCapped,1,1,2
isIterateeCall,6,0,6
getAllKeysIn,3,2,5
unicodeToArray,4,0,4
Stack,11,0,11
ListCache,13,0,13
Hash,13,1,14
isStrictComparable,3,1,4
initCloneObject,2,1,3
add,4,0,4
reInterpolate,0,3,3
iteratorToArray,2,0,2
strictLastIndexOf,0,0,0
strictLastIndexOf,0,0,0
